"R Package","Dataset","Description","Doc","CSV"
"datasets","warpbreaks","The Number of Breaks in Yarn during Weaving","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/warpbreaks.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/warpbreaks.csv"
"datasets","women","Average Heights and Weights for American Women","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/women.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/women.csv"
"Amelia","africa","Economic and Political Indictors in 6 African States","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/africa.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/africa.csv"
"Amelia","freetrade","Trade Policy and Democracy in 9 Asian States","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/freetrade.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/freetrade.csv"
"boot","acme","Monthly Excess Returns","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/acme.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/acme.csv"
"boot","aids","Delay in AIDS Reporting in England and Wales","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/aids.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/aids.csv"
"boot","aircondit","Failures of Air-conditioning Equipment","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/aircondit.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/aircondit.csv"
"boot","aircondit7","Failures of Air-conditioning Equipment","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/aircondit7.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/aircondit7.csv"
"boot","amis","Car Speeding and Warning Signs","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/amis.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/amis.csv"
"boot","aml","Remission Times for Acute Myelogenous Leukaemia","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/aml.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/aml.csv"
"boot","bigcity","Population of U.S. Cities","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/bigcity.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/bigcity.csv"
"boot","brambles","Spatial Location of Bramble Canes","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/brambles.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/brambles.csv"
"boot","breslow","Smoking Deaths Among Doctors","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/breslow.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/breslow.csv"
"boot","calcium","Calcium Uptake Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/calcium.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/calcium.csv"
"boot","cane","Sugar-cane Disease Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/cane.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/cane.csv"
"boot","capability","Simulated Manufacturing Process Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/capability.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/capability.csv"
"boot","catsM","Weight Data for Domestic Cats","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/catsM.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/catsM.csv"
"boot","cav","Position of Muscle Caveolae","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/cav.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/cav.csv"
"boot","cd4","CD4 Counts for HIV-Positive Patients","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/cd4.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/cd4.csv"
"boot","channing","Channing House Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/channing.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/channing.csv"
"boot","city","Population of U.S. Cities","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/city.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/city.csv"
"boot","claridge","Genetic Links to Left-handedness","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/claridge.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/claridge.csv"
"boot","cloth","Number of Flaws in Cloth","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/cloth.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/cloth.csv"
"boot","co.transfer","Carbon Monoxide Transfer","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/co.transfer.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/co.transfer.csv"
"boot","coal","Dates of Coal Mining Disasters","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/coal.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/coal.csv"
"boot","darwin","Darwin's Plant Height Differences","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/darwin.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/darwin.csv"
"boot","dogs","Cardiac Data for Domestic Dogs","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/dogs.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/dogs.csv"
